"cluid_mukey"	"profit12"	"profit14"
"2097792410408"	"485.75"	"-42.12"
"2097792410411"	"254.87"	"-160.57"
"2097793410366"	"457.83"	"-60.16"
"2097793410371"	"373.82"	"-103.22"
"2097793410372"	"457.83"	"-60.16"
"2097793410374"	"384.30"	"-103.22"
"2097793410399"	"499.80"	"-38.63"
"2097793410411"	"247.90"	"-167.83"
"2097794410374"	"429.72"	"-55.94"
"2097794410399"	"545.22"	"8.65"
"2097794410411"	"293.32"	"-120.55"
"2097794410412"	"261.82"	"-136.69"
"2097795410366"	"447.17"	"-71.25"
"2097795410372"	"447.17"	"-71.25"
"2097795410404"	"394.66"	"-98.17"
"2097795410408"	"468.12"	"-60.47"
"2097795410410"	"205.74"	"-195.06"
"2099586410366"	"440.20"	"-78.51"
"2099586410372"	"440.20"	"-78.51"
"2099586410404"	"387.69"	"-105.43"
"2099586410408"	"461.15"	"-67.73"
"2100034410404"	"209.09"	"20.94"
"2100034410410"	"95.35"	"-58.13"
"2100034410420"	"158.56"	"-14.22"
"2100035410404"	"193.84"	"5.06"
"2100035410410"	"80.10"	"-74.01"
"2100035410420"	"143.31"	"-30.10"
"2100051410366"	"153.05"	"-48.39"
"2100051410372"	"153.05"	"-48.39"
"2100051410374"	"102.38"	"-83.56"
"2100051410404"	"121.38"	"-70.35"
"2100051410408"	"159.25"	"-39.65"
"2100051410410"	"7.64"	"-149.42"
"2100052410366"	"441.22"	"-77.44"
"2100052410408"	"462.17"	"-66.66"
"2100839410366"	"388.91"	"-67.32"
"2100839410372"	"388.91"	"-67.32"
"2100839410404"	"336.56"	"-94.24"
"2100839410408"	"409.80"	"-56.54"
"2100839410410"	"148.24"	"-191.13"
"2101177410366"	"175.12"	"-25.42"
"2101177410372"	"175.12"	"-25.42"
"2101177410395"	"-1.96"	"-143.94"
"2101177410404"	"143.45"	"-47.38"
"2101177410408"	"181.32"	"-16.68"
"2101177410410"	"29.71"	"-126.45"
"2101195410366"	"465.16"	"-52.53"
"2101195410372"	"465.16"	"-52.53"
"2101195410374"	"391.63"	"-95.59"
"2101195410397"	"171.22"	"-203.26"
"2101195410404"	"412.65"	"-79.45"
"2101195410408"	"486.11"	"-41.75"
"2101195410410"	"223.73"	"-176.34"
"2101195410411"	"255.23"	"-160.20"
"2101195410417"	"328.70"	"-122.50"
"2101195410420"	"328.70"	"-122.50"
"2101196410366"	"483.97"	"-32.95"
"2101196410397"	"190.03"	"-183.68"
"2101196410404"	"431.46"	"-59.87"
"2101196410420"	"347.51"	"-102.92"
"2101270410366"	"379.58"	"-77.03"
"2101270410372"	"379.58"	"-77.03"
"2101270410404"	"327.23"	"-103.95"
"2101270410408"	"400.47"	"-66.25"
"2101270410410"	"138.91"	"-200.84"
"2101289410368"	"30.70"	"-118.77"
"2101289410370"	"150.77"	"-35.32"
"2101289410381"	"100.24"	"-70.49"
"2101299410366"	"502.75"	"-13.40"
"2101299410368"	"229.83"	"-153.38"
"2101299410370"	"439.76"	"-51.10"
"2101299410374"	"429.22"	"-56.46"
"2101299410381"	"355.75"	"-88.76"
"2101299410383"	"334.79"	"-99.54"
"2101299410404"	"450.24"	"-40.32"
"2101299410408"	"523.70"	"-2.62"
"2101303410366"	"420.27"	"-91.87"
"2101303410368"	"148.20"	"-230.94"
"2101303410370"	"357.47"	"-129.32"
